epoch,train_g_loss,train_d_loss,val_g_loss
1,36.68018370905903,0.3163573394042462,0.4694665504056354
2,36.25417028840313,0.38731789753183365,0.3634481984515523
3,35.53036115049533,0.4217114163036876,0.42658763188262316
4,34.95878535548237,0.43467409718838773,0.4195354002159695
5,34.32941140439891,0.434220251099449,0.4531849394010943
6,33.80781537855219,0.43810244218427974,0.44555994868278503
7,33.518342243503426,0.4389730411412549,0.4509573003580404
8,32.96777477097459,0.44329701339585514,0.4199208561764207
9,32.66325765522095,0.44145970657891725,0.42090778052806854
10,32.4056736697775,0.44068686838549126,0.4620030595119609
11,32.047993046449626,0.44397806937050244,0.49979070695333705
12,31.766449026779743,0.44748869663026974,0.48038482666015625
13,31.58139561250382,0.45003538727108183,0.4499053913493489
14,31.263571879013362,0.4514999010272047,0.4645028963338497
15,30.978954402831764,0.45354021728625704,0.6163525110067323
