epoch,train_g_loss,train_d_loss,val_g_loss
1,0.31387235597591173,0.0,0.4030632695486379
2,0.29997200703073124,0.0,0.36657198847726336
3,0.29226290796530846,0.0,0.3391446751910587
4,0.29091239533095703,0.0,0.36283315094404445
5,0.28275206579095163,0.0,0.33284069424451784
6,0.2788013544430879,0.0,0.3559771259856779
7,0.2738593532917797,0.0,0.39203523757845854
8,0.2721819464663447,0.0,0.3380781817574834
9,0.267020595119349,0.0,0.35419784971447876
10,0.26496503877105027,0.0,0.3968363310708556
11,0.2620511378938051,0.0,0.39824626785378126
12,0.259637610982753,0.0,0.3895675966212916
13,0.25740237035167035,0.0,0.36815856916959894
14,0.25583331065183135,0.0,0.3904654342074727
15,0.25369718639868877,0.0,0.34933135675829513
